NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA
Guarulhos;3518800;Guarulhos;59;3;4;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;3603;FACULDADE ANHANGUERA DE GUARULHOS;;137;0;0;0;0;15;8;43;15;25;11;6;7;7;0;0;0;1;1;1;1;1;1;60395;238009;133;133;58;75;0;0;22;54;57;26;0;26;80;27;4;12;20;24;22;19;15;17;102;4;23;3;1;0;133;0;2
Guarulhos;3518800;Guarulhos;59;3;4;E.E.S.R.G.- EMPRESA DE ENSINO SUPERIOR REUNIDAS GUARULHOS LTDA;17911;13752;FACULDADE DOM RICARDO;FDR;10;0;0;0;0;0;0;4;5;0;0;0;1;0;0;1;0;1;1;1;1;1;1;378;11716;8;8;5;3;0;0;2;4;2;3;1;2;5;0;0;1;2;1;0;3;0;1;5;1;1;0;0;1;8;0;0
Suzano;3552502;Mogi das Cruzes;62;2;5;UNIPIAGET/BRASIL;13938;14715;Centro Universitário Piaget;UniPiaget;25;0;0;0;0;8;4;6;2;3;1;0;0;0;1;0;0;0;0;0;1;1;1;1123;12793;65;64;39;25;0;0;21;32;11;11;8;3;52;1;4;8;8;13;13;10;5;3;55;1;7;1;0;0;64;0;3
Guarulhos;3518800;Guarulhos;59;3;4;PRO-FAC ENSINO SUPERIOR LTDA - ME;13766;14727;FACULDADE PROGRESSO;FAP;44;0;0;0;0;5;0;6;1;1;9;7;13;0;2;0;0;1;1;1;1;1;1;300;300;30;30;8;22;0;0;10;18;2;3;3;0;10;17;1;2;4;9;4;3;3;4;22;3;4;0;1;0;29;1;0
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15576;Faculdade de Tecnologia de Mogi das Cruzes;FATEC-MC;10;0;0;0;0;0;0;0;1;5;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;75;75;25;50;0;0;17;34;24;7;1;6;49;19;0;0;5;16;13;9;15;17;63;2;6;2;0;2;75;0;0
Itaquaquecetuba;3523107;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15639;Faculdade de Tecnologia de Itaquaquecetuba;Fatec Itaqua;14;0;0;0;0;3;0;3;2;1;5;0;0;0;0;0;0;0;1;1;1;1;1;1;0;67;63;23;40;0;0;12;27;24;4;1;3;27;32;0;0;6;4;8;11;22;12;47;5;7;3;0;1;63;0;0
Guarulhos;3518800;Guarulhos;59;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15752;Faculdade de Tecnologia de Guarulhos;FATEC GR;9;0;0;0;0;1;2;3;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;50;0;84;83;24;59;0;0;12;48;23;14;0;14;40;29;0;1;1;11;15;15;20;20;61;1;8;0;0;13;83;0;0
Arujá;3503901;Guarulhos;59;3;5;JOVENS DA VERDADE ASSOCIACAO CIVIL;15953;18288;Faculdade Latino-americana;FLAM;5;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;178;12;12;6;6;0;0;4;3;5;1;0;1;2;9;0;0;1;2;2;1;3;3;8;1;2;0;0;1;11;1;0
Guarulhos;3518800;Guarulhos;59;3;4;FACULDADE DE ENSINO GUARULHENSE SS LTDA;16736;21822;FACULDADE FAVENI GUARULHOS;FAVENI - GUARULHOS;9;0;0;0;0;2;0;1;1;0;1;2;1;1;0;0;0;0;1;1;1;0;1;40;14000;22;22;5;17;0;0;2;16;4;3;0;3;19;0;2;2;3;3;1;1;5;5;15;0;6;0;0;1;22;0;0
Guarulhos;3518800;Guarulhos;59;3;5;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;222;22314;FACULDADE NOVE DE JULHO GUARULHOS;NOVE-GUARULHOS;18;0;0;0;0;5;0;5;4;1;0;0;3;0;0;1;0;1;1;1;1;1;1;59647;94907;28;28;14;14;0;0;5;18;5;0;0;0;5;23;1;1;6;11;3;4;1;1;23;0;0;0;0;5;28;0;0
Guarulhos;3518800;Guarulhos;59;3;4;IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A;14298;23228;Faculdade São Judas de Guarulhos;;17;0;0;0;0;7;4;2;1;0;0;0;1;2;0;1;0;1;1;1;1;1;1;22000;34357;30;30;9;21;0;0;2;18;10;11;0;11;6;13;0;2;7;6;2;9;2;2;29;0;0;1;0;0;30;0;0
Guarulhos;3518800;Guarulhos;59;3;4;BRASIL EDUCACAO S/A;3052;23235;Instituto Universitário São Judas de Guarulhos;;17;0;0;0;0;7;4;2;1;0;0;0;1;2;0;1;0;1;1;1;1;1;1;22000;34357;3;3;1;2;0;0;0;1;2;2;0;2;1;0;0;0;0;2;1;0;0;0;3;0;0;0;0;0;3;0;0
Guarulhos;3518800;Guarulhos;59;3;4;BRASIL EDUCACAO S/A;3052;23236;Escola Superior São Judas de Guarulhos;;17;0;0;0;0;7;4;2;1;0;0;0;1;2;0;1;0;1;1;1;1;1;1;22000;34357;26;26;15;11;0;0;3;8;15;21;0;21;5;0;0;2;3;4;2;9;4;2;24;0;1;1;0;0;26;0;0
Ferraz de Vasconcelos;3515707;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;23700;Faculdade de Tecnologia de Ferraz de Vasconcelos;;5;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;52;51;14;37;0;0;14;27;10;2;0;2;13;36;0;4;2;9;5;12;11;8;34;4;8;2;0;3;51;0;0
